ID	Ctrl_1	Ctrl_2	Ctrl_3	Ctrl_4	Ctrl_5	Ctrl_6	Ctrl_7	Ctrl_8	Ctrl_9	BRCA1_1	BRCA1_2	BRCA1_3	BRCA1_4	BRCA1_5	BRCA1_6	BRCA1_7	BRCA1_8	BRCA1_9	BRCA2_1	BRCA2_2	BRCA2_3	BRCA2_4	BRCA2_5	BRCA2_6	BRCA2_7	BRCA2_8
200015_s_at	6.308348268581592	6.2731616185171015	6.3175894798421925	6.2633598285216	6.343127982838931	6.306218145377409	6.30360671716083	6.3057502734574875	6.290756129865146	6.3809685599747805	6.314369712025944	6.345479611725777	6.349744702922145	6.256080857470203	6.3040904221503995	6.281434770229341	6.294515746912975	6.3141466964919495	6.3661687415788215	6.310162442995021	6.314561882210542	6.401138101219717	6.3388045982735965	6.303735317763551	6.367942038733743	6.312949815705838
200016_x_at	6.682678065690455	6.690598153967433	6.6967210811841165	6.666369101200886	6.676545937103966	6.63517276981585	6.684266682173795	6.651144256615075	6.683236173557279	6.684638109969193	6.6709272731224045	6.670579757867971	6.671689462970725	6.6750436511862645	6.673385642165929	6.68019802521555	6.68451462028765	6.66405631633855	6.712378702450207	6.683070298534606	6.695385246712998	6.670145904805504	6.6890249178607	6.693130659841081	6.6906539273670464	6.683696903528355
200017_at	6.59061359029677	6.591737330270896	6.605310367661463	6.549989756890483	6.591462515899124	6.566895870259868	6.571500547965029	6.604380552472069	6.587874393891229	6.633850625610798	6.557194792893734	6.563127141204525	6.561906315706155	6.579004605606887	6.554102381383255	6.608086376675485	6.606165937178064	6.5825170873241134	6.620909793671828	6.6348758382057795	6.622881800508753	6.647120459765226	6.626058244754141	6.617194893251885	6.628923029758046	6.632427873755792
200018_at	6.667070988569162	6.686617469829004	6.695317420427492	6.658240926235333	6.687108929285553	6.653213710898075	6.685357424282342	6.686842773058972	6.672707540176935	6.700794439159909	6.677712527635891	6.673899271282511	6.66823276122594	6.671828525429699	6.678291286039267	6.678847757886963	6.689834672942756	6.684634109557306	6.720698057945776	6.700661854962596	6.693728586472905	6.702805589013244	6.689743243234872	6.689176813641298	6.694326342672471	6.700100057240428
200019_s_at	6.606053426964183	6.654551880237194	6.625035667676209	6.606246267907928	6.62762274266996	6.633872088743486	6.637438834265045	6.659578774609296	6.651617104639499	6.652481219355018	6.613142714347873	6.631054027165468	6.606127707624644	6.655974704560112	6.56667395595315	6.653637226926165	6.665568484554567	6.63654102053197	6.683793227910687	6.690045591343275	6.648024513371751	6.6541337526766355	6.665493826766292	6.647539039995958	6.6425044270946065	6.687477222946982
200020_at	6.142945392571962	6.211252300826084	6.309444878671348	6.225542463959933	6.158512457889082	6.1448988751707985	6.244294648430001	6.021389764962567	6.173878576059179	6.213006892333147	6.273990223055281	6.219191875423405	6.222662377484969	6.230601106244138	6.252603833614887	6.139969446551653	6.179781974832023	6.1784975022874775	6.09223804472911	6.1131474946116295	6.178619294923615	6.242063597444071	6.1778506024855995	6.151894111828445	6.231030453740457	6.129291099754095
200021_at	6.693824168614397	6.727831213467559	6.724695644275054	6.742939708551787	6.741328335864589	6.666018147969053	6.719923582395427	6.710974184952881	6.718575665087973	6.696041969665467	6.726695515062057	6.726905169063875	6.731188587524813	6.722023474697478	6.73610903162796	6.698618436640948	6.67504821020001	6.684176966550992	6.685785266996234	6.696305997439741	6.664646250751437	6.668828949269679	6.66735130092395	6.688557021445002	6.724094593219978	6.69509444779485
200022_at	6.639276894097229	6.653504444185993	6.64287827462827	6.60660940558837	6.642516820559453	6.633072563414267	6.63412484589407	6.679013757575676	6.651050108491007	6.681368582665746	6.654691938976336	6.62083489573503	6.6030268397863505	6.660589443101348	6.593417335215315	6.665627669095845	6.663545341428303	6.657323573961358	6.675147000902009	6.680628380654618	6.682581076547034	6.667769900467707	6.693091678316246	6.667073418360755	6.65110525486476	6.677338054448025
200023_s_at	6.584241868723898	6.592385900819108	6.509564543459822	6.52793626899934	6.564771744806402	6.523338258433678	6.533707533329848	6.575236222897654	6.574451235160991	6.600803284408972	6.530876327929359	6.518087834387738	6.545738183684641	6.574877132278089	6.52784756356099	6.590082629724437	6.576994161141815	6.558299224319762	6.579901131463352	6.573499920040892	6.586318985894705	6.570845025983185	6.5919537402526345	6.573756176023647	6.566816460455651	6.572925901723159
200024_at	6.635362675745002	6.6611888383514914	6.65805831501907	6.60642383320931	6.620405357069035	6.611588115704436	6.647086578126712	6.66006332626356	6.645970966545188	6.653337473317578	6.64248263510263	6.629102921272962	6.635131339807943	6.664860749460908	6.629894960762651	6.665232297347075	6.657569051408659	6.624331710326114	6.6658488746005755	6.658005874942995	6.670314905745062	6.650605642570296	6.658241945339244	6.665351324198858	6.633369115625668	6.657231024694945
200025_s_at	6.636008535621269	6.647462187741281	6.627827191281108	6.6130163372637085	6.651870151044305	6.5928192173242826	6.628049830508944	6.66081695210622	6.648311120225471	6.67860421890063	6.622503761577944	6.637398105526336	6.608044106439347	6.649677282110839	6.614386576941116	6.648535595136358	6.652699487784277	6.640665591149801	6.682775677441129	6.68129591782969	6.652480518012781	6.666276510560308	6.657744565028629	6.652591398168431	6.665461042434865	6.678723479622781
200026_at	6.641685069570339	6.649086876335562	6.608583151674197	6.6253489948555355	6.671993579331253	6.634253567563393	6.614360645272272	6.660224436472834	6.659847567368731	6.675930807932189	6.613529731917244	6.639321832046353	6.603349469096399	6.660516091212941	6.587088898173366	6.674736155995908	6.655798755295736	6.595171346061204	6.656200955779796	6.692837669031107	6.670273034782025	6.669332322792209	6.68059647683831	6.657784426649309	6.671475657387207	6.691438434317357
200027_at	6.20825984611859	6.227175534171726	6.308340835399106	6.251650110377837	6.273061471132155	6.255094271902124	6.311015239252596	6.2506433342005625	6.2355996170340005	6.328234609044218	6.271968651583057	6.30073356920127	6.239144090677825	6.225634634406704	6.278257011386988	6.293210574418256	6.30493590470391	6.333816357285946	6.299331691585719	6.304972769374043	6.226949318488538	6.369087364971864	6.276953896880669	6.213413431603804	6.312869414429072	6.30763953389067
200028_s_at	6.214441585994577	6.254859226765448	6.324920450361505	6.307009591006148	6.286094310355774	6.218794716005133	6.3155282988093315	6.280879495934733	6.270772436927458	6.294405146933206	6.306044149436785	6.305699324304617	6.312555342303627	6.311075619689558	6.346127419592813	6.254731305994331	6.186568830737785	6.22582796071356	6.263265780386822	6.278725831297675	6.181889585817659	6.237591731319145	6.2443325409446855	6.203421656910838	6.2748708713724595	6.2785418974641365
